pair_id,faith_A,faith_B,logical_law,category_id,semantic_dimension,faith_mean,faith_diff
demorgan_attr_001,0.6,0.6,DeMorgan,20,Attributes,0.6,0.0
demorgan_attr_002,0.6,1.0,DeMorgan,20,Attributes,0.8,0.4
demorgan_attr_003,0.6,0.6,DeMorgan,20,Attributes,0.6,0.0
demorgan_attr_004,0.8,0.8,DeMorgan,20,Attributes,0.8,0.0
demorgan_attr_005,0.8,0.6,DeMorgan,20,Attributes,0.7,0.20000000000000007
demorgan_conj_001,0.6,0.4,DeMorgan,17,Conjunctive,0.5,0.19999999999999996
demorgan_conj_002,0.6,0.6,DeMorgan,17,Conjunctive,0.6,0.0
demorgan_conj_003,0.8,0.6,DeMorgan,17,Conjunctive,0.7,0.20000000000000007
demorgan_conj_004,0.6,0.8,DeMorgan,17,Conjunctive,0.7,0.20000000000000007
demorgan_conj_005,0.0,0.2,DeMorgan,17,Conjunctive,0.1,0.2
demorgan_horiz_001,0.8,0.8,DeMorgan,18,Horizontal,0.8,0.0
demorgan_horiz_002,0.6,0.8,DeMorgan,18,Horizontal,0.7,0.20000000000000007
demorgan_horiz_003,0.8,0.4,DeMorgan,18,Horizontal,0.6000000000000001,0.4
demorgan_horiz_004,1.0,1.0,DeMorgan,18,Horizontal,1.0,0.0
demorgan_horiz_005,0.4,0.4,DeMorgan,18,Horizontal,0.4,0.0
demorgan_vert_001,0.6,0.4,DeMorgan,19,Vertical,0.5,0.19999999999999996
demorgan_vert_002,0.4,0.0,DeMorgan,19,Vertical,0.2,0.4
demorgan_vert_003,0.6,0.6,DeMorgan,19,Vertical,0.6,0.0
demorgan_vert_004,0.4,1.0,DeMorgan,19,Vertical,0.7,0.6
demorgan_vert_005,0.6,0.6,DeMorgan,19,Vertical,0.6,0.0
dist_attr_001,0.8,0.8,Distributive,12,Attributes,0.8,0.0
dist_attr_002,0.8,0.8,Distributive,12,Attributes,0.8,0.0
dist_attr_003,0.8,0.8,Distributive,12,Attributes,0.8,0.0
dist_attr_004,0.6,0.6,Distributive,12,Attributes,0.6,0.0
dist_attr_005,0.6,0.6,Distributive,12,Attributes,0.6,0.0
dist_conj_001,0.6,0.6,Distributive,9,Conjunctive,0.6,0.0
dist_conj_002,0.8,0.8,Distributive,9,Conjunctive,0.8,0.0
dist_conj_003,0.6,0.0,Distributive,9,Conjunctive,0.3,0.6
dist_conj_004,0.8,0.8,Distributive,9,Conjunctive,0.8,0.0
dist_conj_005,0.6,0.6,Distributive,9,Conjunctive,0.6,0.0
dist_horiz_001,0.8,0.2,Distributive,10,Horizontal,0.5,0.6000000000000001
dist_horiz_002,0.4,0.8,Distributive,10,Horizontal,0.6000000000000001,0.4
dist_horiz_003,0.4,0.6,Distributive,10,Horizontal,0.5,0.19999999999999996
dist_horiz_004,0.8,0.6,Distributive,10,Horizontal,0.7,0.20000000000000007
dist_horiz_005,0.6,0.6,Distributive,10,Horizontal,0.6,0.0
dist_vert_001,0.4,0.4,Distributive,11,Vertical,0.4,0.0
dist_vert_002,0.2,0.4,Distributive,11,Vertical,0.30000000000000004,0.2
dist_vert_003,0.6,0.8,Distributive,11,Vertical,0.7,0.20000000000000007
dist_vert_004,0.6,0.6,Distributive,11,Vertical,0.6,0.0
dist_vert_005,0.8,0.8,Distributive,11,Vertical,0.8,0.0
