pair_id,logical_law,category_id,semantic_dimension,image_variant,question,expected_answer
comm_conj_005,Commutative,1,Conjunctive,A,Is the floor dark in color?,yes
comm_conj_005,Commutative,1,Conjunctive,A,Are both the banana and the dog visible?,yes
comm_conj_005,Commutative,1,Conjunctive,B,Is there a blue banana in the scene?,yes
comm_conj_005,Commutative,1,Conjunctive,B,Is there a red dog present?,yes
comm_conj_005,Commutative,1,Conjunctive,B,Is the floor made of metal?,yes
comm_conj_005,Commutative,1,Conjunctive,B,Is the floor dark in color?,yes
comm_conj_005,Commutative,1,Conjunctive,B,Are both the banana and the dog visible?,yes
comm_horiz_001,Commutative,2,Horizontal,A,Is there a green cat in the image?,yes
comm_horiz_001,Commutative,2,Horizontal,A,Is there a red banana in the image?,yes
comm_horiz_001,Commutative,2,Horizontal,A,Are the cat and banana on a plain white surface?,yes
comm_horiz_001,Commutative,2,Horizontal,A,Is the cat positioned to the left of the banana?,yes
comm_horiz_001,Commutative,2,Horizontal,A,Are both the cat and banana visible in the scene?,yes
comm_horiz_001,Commutative,2,Horizontal,B,Is there a green cat in the image?,yes
comm_horiz_001,Commutative,2,Horizontal,B,Is there a red banana in the image?,yes
comm_horiz_001,Commutative,2,Horizontal,B,Are the cat and banana on a plain white surface?,yes
comm_horiz_001,Commutative,2,Horizontal,B,Is the cat positioned to the left of the banana?,yes
comm_horiz_001,Commutative,2,Horizontal,B,Are both the cat and banana visible in the scene?,yes
comm_horiz_002,Commutative,2,Horizontal,A,Is there a green apple in the image?,yes
comm_horiz_002,Commutative,2,Horizontal,A,Is there a red cat in the image?,yes
comm_horiz_002,Commutative,2,Horizontal,A,Are the objects on a plain white surface?,yes
comm_horiz_002,Commutative,2,Horizontal,A,Is the apple positioned next to the cat?,yes
comm_horiz_002,Commutative,2,Horizontal,A,Is the cat red in color?,yes
comm_horiz_002,Commutative,2,Horizontal,B,Is there a green apple in the image?,yes
comm_horiz_002,Commutative,2,Horizontal,B,Is there a red cat in the image?,yes
comm_horiz_002,Commutative,2,Horizontal,B,Are the objects on a plain white surface?,yes
comm_horiz_002,Commutative,2,Horizontal,B,Is the apple positioned next to the cat?,yes
comm_horiz_002,Commutative,2,Horizontal,B,Is the cat red in color?,yes
comm_horiz_003,Commutative,2,Horizontal,A,Is there a red cat in the image?,yes
comm_horiz_003,Commutative,2,Horizontal,A,Is there a green dog in the image?,yes
comm_horiz_003,Commutative,2,Horizontal,A,Are the cat and dog on a white surface?,yes
comm_horiz_003,Commutative,2,Horizontal,A,Is the surface plain and white?,yes
comm_horiz_003,Commutative,2,Horizontal,A,Are there exactly two animals in the image?,yes
comm_horiz_003,Commutative,2,Horizontal,B,Is there a red cat in the image?,yes
comm_horiz_003,Commutative,2,Horizontal,B,Is there a green dog in the image?,yes
comm_horiz_003,Commutative,2,Horizontal,B,Are the cat and dog on a white surface?,yes
comm_horiz_003,Commutative,2,Horizontal,B,Is the surface plain and white?,yes
comm_horiz_003,Commutative,2,Horizontal,B,Are there exactly two animals in the image?,yes
comm_horiz_004,Commutative,2,Horizontal,A,Is there a green apple in the image?,yes
comm_horiz_004,Commutative,2,Horizontal,A,Is there a red banana in the image?,yes
comm_horiz_004,Commutative,2,Horizontal,A,Are both fruits on a plain white surface?,yes
comm_horiz_004,Commutative,2,Horizontal,A,Is the apple positioned next to the banana?,yes
comm_horiz_004,Commutative,2,Horizontal,A,Are the colors of the fruits clearly visible?,yes
comm_horiz_004,Commutative,2,Horizontal,B,Is there a green apple in the image?,yes
comm_horiz_004,Commutative,2,Horizontal,B,Is there a red banana in the image?,yes
comm_horiz_004,Commutative,2,Horizontal,B,Are both fruits on a plain white surface?,yes
comm_horiz_004,Commutative,2,Horizontal,B,Is the apple positioned next to the banana?,yes
comm_horiz_004,Commutative,2,Horizontal,B,Are the colors of the fruits clearly visible?,yes
comm_horiz_005,Commutative,2,Horizontal,A,Is there a red banana in the image?,yes
comm_horiz_005,Commutative,2,Horizontal,A,Is there a blue apple in the image?,yes
comm_horiz_005,Commutative,2,Horizontal,A,Are the objects placed on a plain white surface?,yes
comm_horiz_005,Commutative,2,Horizontal,A,Is the apple blue in color?,yes
comm_horiz_005,Commutative,2,Horizontal,A,Is the banana red in color?,yes
comm_horiz_005,Commutative,2,Horizontal,B,Is there a red banana in the image?,yes
comm_horiz_005,Commutative,2,Horizontal,B,Is there a blue apple in the image?,yes
comm_horiz_005,Commutative,2,Horizontal,B,Are the objects placed on a plain white surface?,yes
comm_horiz_005,Commutative,2,Horizontal,B,Is the apple blue in color?,yes
comm_horiz_005,Commutative,2,Horizontal,B,Is the banana red in color?,yes
comm_vert_001,Commutative,3,Vertical,A,Is there a green dog in the image?,yes
comm_vert_001,Commutative,3,Vertical,A,Is there a yellow cat in the image?,yes
comm_vert_001,Commutative,3,Vertical,A,Are the dog and cat on a wooden table?,yes
comm_vert_001,Commutative,3,Vertical,A,Is the dog positioned above the cat?,yes
comm_vert_001,Commutative,3,Vertical,A,Are the dog and cat the only animals shown?,yes
comm_vert_001,Commutative,3,Vertical,B,Is there a green dog in the image?,yes
comm_vert_001,Commutative,3,Vertical,B,Is there a yellow cat in the image?,yes
comm_vert_001,Commutative,3,Vertical,B,Are the dog and cat on a wooden table?,yes
comm_vert_001,Commutative,3,Vertical,B,Is the dog positioned above the cat?,yes
comm_vert_001,Commutative,3,Vertical,B,Are the dog and cat the only animals shown?,yes
comm_vert_002,Commutative,3,Vertical,A,Is there a blue apple in the image?,yes
comm_vert_002,Commutative,3,Vertical,A,Is there a red cat in the image?,yes
comm_vert_002,Commutative,3,Vertical,A,Is the apple positioned above the cat?,yes
comm_vert_002,Commutative,3,Vertical,A,Are both the apple and cat on a wooden table?,yes
comm_vert_002,Commutative,3,Vertical,A,Is the cat below the apple?,yes
comm_vert_002,Commutative,3,Vertical,B,Is there a blue apple in the image?,yes
comm_vert_002,Commutative,3,Vertical,B,Is there a red cat in the image?,yes
comm_vert_002,Commutative,3,Vertical,B,Is the apple positioned above the cat?,yes
comm_vert_002,Commutative,3,Vertical,B,Are both the apple and cat on a wooden table?,yes
comm_vert_002,Commutative,3,Vertical,B,Is the cat below the apple?,yes
comm_vert_003,Commutative,3,Vertical,A,Is there a yellow apple in the image?,yes
comm_vert_003,Commutative,3,Vertical,A,Is there a blue banana in the image?,yes
comm_vert_003,Commutative,3,Vertical,A,Are the apple and banana on a white surface?,yes
comm_vert_003,Commutative,3,Vertical,A,Is the apple positioned above the banana?,yes
comm_vert_003,Commutative,3,Vertical,A,Are the colors of the apple and banana distinct?,yes
comm_vert_003,Commutative,3,Vertical,B,Is there a yellow apple in the image?,yes
comm_vert_003,Commutative,3,Vertical,B,Is there a blue banana in the image?,yes
comm_vert_003,Commutative,3,Vertical,B,Are the apple and banana on a white surface?,yes
comm_vert_003,Commutative,3,Vertical,B,Is the apple positioned above the banana?,yes
comm_vert_003,Commutative,3,Vertical,B,Are the colors of the apple and banana distinct?,yes
comm_vert_004,Commutative,3,Vertical,A,Is there a blue apple in the image?,yes
comm_vert_004,Commutative,3,Vertical,A,Is there a green cat in the image?,yes
comm_vert_004,Commutative,3,Vertical,A,Is the cat positioned on a dark metal floor?,yes
comm_vert_004,Commutative,3,Vertical,A,Is the apple positioned above the cat?,yes
comm_vert_004,Commutative,3,Vertical,A,Is the floor dark and metallic?,yes
comm_vert_004,Commutative,3,Vertical,B,Is there a blue apple in the image?,yes
comm_vert_004,Commutative,3,Vertical,B,Is there a green cat in the image?,yes
comm_vert_004,Commutative,3,Vertical,B,Is the cat positioned on a dark metal floor?,yes
comm_vert_004,Commutative,3,Vertical,B,Is the apple positioned above the cat?,yes
comm_vert_004,Commutative,3,Vertical,B,Is the floor dark and metallic?,yes
comm_vert_005,Commutative,3,Vertical,A,Is there a green cat in the image?,yes
comm_vert_005,Commutative,3,Vertical,A,Is there a yellow banana in the image?,yes
comm_vert_005,Commutative,3,Vertical,A,Is the cat positioned above the banana?,yes
comm_vert_005,Commutative,3,Vertical,A,Are both objects on a wooden table?,yes
comm_vert_005,Commutative,3,Vertical,A,Is the banana yellow in color?,yes
comm_vert_005,Commutative,3,Vertical,B,Is there a green cat in the image?,yes
comm_vert_005,Commutative,3,Vertical,B,Is there a yellow banana in the image?,yes
comm_vert_005,Commutative,3,Vertical,B,Is the cat positioned above the banana?,yes
comm_vert_005,Commutative,3,Vertical,B,Are both objects on a wooden table?,yes
comm_vert_005,Commutative,3,Vertical,B,Is the banana yellow in color?,yes
comm_attr_001,Commutative,4,Attributes,A,Is the banana small?,yes
comm_attr_001,Commutative,4,Attributes,A,Is the banana blue?,yes
comm_attr_001,Commutative,4,Attributes,A,Is the surface white?,yes
comm_attr_001,Commutative,4,Attributes,A,Is the surface plain?,yes
comm_attr_001,Commutative,4,Attributes,A,Is there only one banana?,yes
comm_attr_001,Commutative,4,Attributes,B,Is the banana small?,yes
comm_attr_001,Commutative,4,Attributes,B,Is the banana blue?,yes
comm_attr_001,Commutative,4,Attributes,B,Is the surface white?,yes
comm_attr_001,Commutative,4,Attributes,B,Is the surface plain?,yes
comm_attr_001,Commutative,4,Attributes,B,Is there only one banana?,yes
comm_attr_002,Commutative,4,Attributes,A,Is there an apple in the image?,yes
comm_attr_002,Commutative,4,Attributes,A,Is the apple green?,yes
comm_attr_002,Commutative,4,Attributes,A,Is the apple small?,yes
comm_attr_002,Commutative,4,Attributes,A,Is the apple on a table?,yes
comm_attr_002,Commutative,4,Attributes,A,Is the table wooden?,yes
comm_attr_002,Commutative,4,Attributes,B,Is there an apple in the image?,yes
comm_attr_002,Commutative,4,Attributes,B,Is the apple green?,yes
comm_attr_002,Commutative,4,Attributes,B,Is the apple small?,yes
comm_attr_002,Commutative,4,Attributes,B,Is the apple on a table?,yes
comm_attr_002,Commutative,4,Attributes,B,Is the table wooden?,yes
comm_attr_003,Commutative,4,Attributes,A,Is the apple small?,yes
comm_attr_003,Commutative,4,Attributes,A,Is the apple blue?,yes
comm_attr_003,Commutative,4,Attributes,A,Is the apple on a white surface?,yes
comm_attr_003,Commutative,4,Attributes,A,Is the surface plain?,yes
comm_attr_003,Commutative,4,Attributes,A,Is there only one apple?,yes
comm_attr_003,Commutative,4,Attributes,B,Is the apple small?,yes
comm_attr_003,Commutative,4,Attributes,B,Is the apple blue?,yes
comm_attr_003,Commutative,4,Attributes,B,Is the apple on a white surface?,yes
comm_attr_003,Commutative,4,Attributes,B,Is the surface plain?,yes
comm_attr_003,Commutative,4,Attributes,B,Is there only one apple?,yes
comm_attr_004,Commutative,4,Attributes,A,Is there a dog in the image?,yes
comm_attr_004,Commutative,4,Attributes,A,Is the dog green?,yes
comm_attr_004,Commutative,4,Attributes,A,Is the dog small?,yes
comm_attr_004,Commutative,4,Attributes,A,Is the floor made of metal?,yes
comm_attr_004,Commutative,4,Attributes,A,Is the floor dark in color?,yes
comm_attr_004,Commutative,4,Attributes,B,Is there a dog in the image?,yes
comm_attr_004,Commutative,4,Attributes,B,Is the dog green?,yes
comm_attr_004,Commutative,4,Attributes,B,Is the dog small?,yes
comm_attr_004,Commutative,4,Attributes,B,Is the floor made of metal?,yes
comm_attr_004,Commutative,4,Attributes,B,Is the floor dark in color?,yes
comm_attr_005,Commutative,4,Attributes,A,Is the banana small?,yes
comm_attr_005,Commutative,4,Attributes,A,Is the banana green?,yes
comm_attr_005,Commutative,4,Attributes,A,Is the banana on a white surface?,yes
comm_attr_005,Commutative,4,Attributes,A,Is the surface plain?,yes
comm_attr_005,Commutative,4,Attributes,A,Is there only one banana?,yes
comm_attr_005,Commutative,4,Attributes,B,Is the banana small?,yes
comm_attr_005,Commutative,4,Attributes,B,Is the banana green?,yes
comm_attr_005,Commutative,4,Attributes,B,Is the banana on a white surface?,yes
comm_attr_005,Commutative,4,Attributes,B,Is the surface plain?,yes
comm_attr_005,Commutative,4,Attributes,B,Is there only one banana?,yes
assoc_conj_001,Associative,5,Conjunctive,A,Is there a yellow dog in the scene?,yes
assoc_conj_001,Associative,5,Conjunctive,A,Is there a blue cat present?,yes
assoc_conj_001,Associative,5,Conjunctive,A,Is there a red banana next to the animals?,yes
assoc_conj_001,Associative,5,Conjunctive,A,Is the floor dark and metallic?,yes
assoc_conj_001,Associative,5,Conjunctive,A,Are the dog and cat both visible in the image?,yes
assoc_conj_001,Associative,5,Conjunctive,B,Is there a yellow dog in the scene?,yes
assoc_conj_001,Associative,5,Conjunctive,B,Is there a blue cat present?,yes
assoc_conj_001,Associative,5,Conjunctive,B,Is there a red banana next to the animals?,yes
assoc_conj_001,Associative,5,Conjunctive,B,Is the floor dark and metallic?,yes
assoc_conj_001,Associative,5,Conjunctive,B,Are the dog and cat both visible in the image?,yes
assoc_conj_002,Associative,5,Conjunctive,A,Is there a green banana on the table?,yes
assoc_conj_002,Associative,5,Conjunctive,A,Is there a yellow dog present?,yes
assoc_conj_002,Associative,5,Conjunctive,A,Is a blue cat next to the other objects?,yes
assoc_conj_002,Associative,5,Conjunctive,A,Are all the objects on a wooden table?,yes
assoc_conj_002,Associative,5,Conjunctive,A,"Are the banana, dog, and cat close to each other?",yes
assoc_conj_002,Associative,5,Conjunctive,B,Is there a green banana on the table?,yes
assoc_conj_002,Associative,5,Conjunctive,B,Is there a yellow dog present?,yes
assoc_conj_002,Associative,5,Conjunctive,B,Is a blue cat next to the other objects?,yes
assoc_conj_002,Associative,5,Conjunctive,B,Are all the objects on a wooden table?,yes
assoc_conj_002,Associative,5,Conjunctive,B,"Are the banana, dog, and cat close to each other?",yes
assoc_conj_003,Associative,5,Conjunctive,A,Is there a yellow cat in the image?,yes
assoc_conj_003,Associative,5,Conjunctive,A,Is there a red dog present?,yes
assoc_conj_003,Associative,5,Conjunctive,A,Is a blue banana visible?,yes
assoc_conj_003,Associative,5,Conjunctive,A,Are the objects placed on a wooden table?,yes
assoc_conj_003,Associative,5,Conjunctive,A,Are the cat and dog different colors?,yes
assoc_conj_003,Associative,5,Conjunctive,B,Is there a yellow cat in the image?,yes
assoc_conj_003,Associative,5,Conjunctive,B,Is there a red dog present?,yes
assoc_conj_003,Associative,5,Conjunctive,B,Is a blue banana visible?,yes
assoc_conj_003,Associative,5,Conjunctive,B,Are the objects placed on a wooden table?,yes
assoc_conj_003,Associative,5,Conjunctive,B,Are the cat and dog different colors?,yes
assoc_conj_004,Associative,5,Conjunctive,A,Is there a yellow cat in the scene?,yes
assoc_conj_004,Associative,5,Conjunctive,A,Is there a blue apple present?,yes
assoc_conj_004,Associative,5,Conjunctive,A,Is there a yellow dog in the image?,yes
assoc_conj_004,Associative,5,Conjunctive,A,Are the objects on a dark metal floor?,yes
assoc_conj_004,Associative,5,Conjunctive,A,Are the cat and dog both yellow?,yes
assoc_conj_004,Associative,5,Conjunctive,B,Is there a yellow cat in the scene?,yes
assoc_conj_004,Associative,5,Conjunctive,B,Is there a blue apple present?,yes
assoc_conj_004,Associative,5,Conjunctive,B,Is there a yellow dog in the image?,yes
assoc_conj_004,Associative,5,Conjunctive,B,Are the objects on a dark metal floor?,yes
assoc_conj_004,Associative,5,Conjunctive,B,Are the cat and dog both yellow?,yes
assoc_conj_005,Associative,5,Conjunctive,A,Is there a green cat in the image?,yes
assoc_conj_005,Associative,5,Conjunctive,A,Is there a yellow banana present?,yes
assoc_conj_005,Associative,5,Conjunctive,A,Is a red apple next to the other objects?,yes
assoc_conj_005,Associative,5,Conjunctive,A,Are the objects placed on a dark metal floor?,yes
assoc_conj_005,Associative,5,Conjunctive,A,Are the cat and banana both visible in the scene?,yes
assoc_conj_005,Associative,5,Conjunctive,B,Is there a green cat in the image?,yes
assoc_conj_005,Associative,5,Conjunctive,B,Is there a yellow banana present?,yes
assoc_conj_005,Associative,5,Conjunctive,B,Is a red apple next to the other objects?,yes
assoc_conj_005,Associative,5,Conjunctive,B,Are the objects placed on a dark metal floor?,yes
assoc_conj_005,Associative,5,Conjunctive,B,Are the cat and banana both visible in the scene?,yes
assoc_horiz_001,Associative,6,Horizontal,A,Is there a green apple in the image?,yes
assoc_horiz_001,Associative,6,Horizontal,A,Is there a red dog in the image?,yes
assoc_horiz_001,Associative,6,Horizontal,A,Is there a green cat in the image?,yes
assoc_horiz_001,Associative,6,Horizontal,A,Are all objects on a plain white surface?,yes
assoc_horiz_001,Associative,6,Horizontal,A,Is the green apple positioned to the left of the red dog?,yes
assoc_horiz_001,Associative,6,Horizontal,B,Is there a green apple in the image?,yes
assoc_horiz_001,Associative,6,Horizontal,B,Is there a red dog in the image?,yes
assoc_horiz_001,Associative,6,Horizontal,B,Is there a green cat in the image?,yes
assoc_horiz_001,Associative,6,Horizontal,B,Are all objects on a plain white surface?,yes
assoc_horiz_001,Associative,6,Horizontal,B,Is the green apple positioned to the left of the red dog?,yes
assoc_horiz_002,Associative,6,Horizontal,A,Is there a red apple in the scene?,yes
assoc_horiz_002,Associative,6,Horizontal,A,Is the cat yellow in color?,yes
assoc_horiz_002,Associative,6,Horizontal,A,Is the dog green?,yes
assoc_horiz_002,Associative,6,Horizontal,A,Are the objects on a dark metal floor?,yes
assoc_horiz_002,Associative,6,Horizontal,A,"Are the apple, cat, and dog arranged in a line?",yes
assoc_horiz_002,Associative,6,Horizontal,B,Is there a red apple in the scene?,yes
assoc_horiz_002,Associative,6,Horizontal,B,Is the cat yellow in color?,yes
assoc_horiz_002,Associative,6,Horizontal,B,Is the dog green?,yes
assoc_horiz_002,Associative,6,Horizontal,B,Are the objects on a dark metal floor?,yes
assoc_horiz_002,Associative,6,Horizontal,B,"Are the apple, cat, and dog arranged in a line?",yes
assoc_horiz_003,Associative,6,Horizontal,A,Is there a green dog in the image?,yes
assoc_horiz_003,Associative,6,Horizontal,A,Is there a red apple in the image?,yes
assoc_horiz_003,Associative,6,Horizontal,A,Is there a blue banana in the image?,yes
assoc_horiz_003,Associative,6,Horizontal,A,Are the objects placed on a dark metal floor?,yes
assoc_horiz_003,Associative,6,Horizontal,A,Is the green dog positioned to the left of the red apple?,yes
assoc_horiz_003,Associative,6,Horizontal,B,Is there a green dog in the image?,yes
assoc_horiz_003,Associative,6,Horizontal,B,Is there a red apple in the image?,yes
assoc_horiz_003,Associative,6,Horizontal,B,Is there a blue banana in the image?,yes
assoc_horiz_003,Associative,6,Horizontal,B,Are the objects placed on a dark metal floor?,yes
assoc_horiz_003,Associative,6,Horizontal,B,Is the green dog positioned to the left of the red apple?,yes
assoc_horiz_004,Associative,6,Horizontal,A,Is there a red apple in the image?,yes
assoc_horiz_004,Associative,6,Horizontal,A,Is there a green cat in the image?,yes
assoc_horiz_004,Associative,6,Horizontal,A,Are the objects placed on a plain white surface?,yes
assoc_horiz_004,Associative,6,Horizontal,A,Is the green cat positioned between two red apples?,yes
assoc_horiz_004,Associative,6,Horizontal,A,Are all the objects aligned horizontally?,yes
assoc_horiz_004,Associative,6,Horizontal,B,Is there a red apple in the image?,yes
assoc_horiz_004,Associative,6,Horizontal,B,Is there a green cat in the image?,yes
assoc_horiz_004,Associative,6,Horizontal,B,Are the objects placed on a plain white surface?,yes
assoc_horiz_004,Associative,6,Horizontal,B,Is the green cat positioned between two red apples?,yes
assoc_horiz_004,Associative,6,Horizontal,B,Are all the objects aligned horizontally?,yes
assoc_horiz_005,Associative,6,Horizontal,A,Is there a blue cat in the image?,yes
assoc_horiz_005,Associative,6,Horizontal,A,Is there a red banana in the image?,yes
assoc_horiz_005,Associative,6,Horizontal,A,Is the floor dark and metallic?,yes
assoc_horiz_005,Associative,6,Horizontal,A,Are there two blue cats in the image?,yes
assoc_horiz_005,Associative,6,Horizontal,A,Is the red banana positioned between the two blue cats?,yes
assoc_horiz_005,Associative,6,Horizontal,B,Is there a blue cat in the image?,yes
assoc_horiz_005,Associative,6,Horizontal,B,Is there a red banana in the image?,yes
assoc_horiz_005,Associative,6,Horizontal,B,Is the floor dark and metallic?,yes
assoc_horiz_005,Associative,6,Horizontal,B,Are there two blue cats in the image?,yes
assoc_horiz_005,Associative,6,Horizontal,B,Is the red banana positioned between the two blue cats?,yes
assoc_vert_001,Associative,7,Vertical,A,Is there a yellow cat in the image?,yes
assoc_vert_001,Associative,7,Vertical,A,Is the green dog below the yellow cat?,yes
assoc_vert_001,Associative,7,Vertical,A,Is the red banana at the bottom of the stack?,yes
assoc_vert_001,Associative,7,Vertical,A,Is the background plain white?,yes
assoc_vert_001,Associative,7,Vertical,A,Are the objects arranged vertically?,yes
assoc_vert_001,Associative,7,Vertical,B,Is there a yellow cat in the image?,yes
assoc_vert_001,Associative,7,Vertical,B,Is the green dog below the yellow cat?,yes
assoc_vert_001,Associative,7,Vertical,B,Is the red banana at the bottom of the stack?,yes
assoc_vert_001,Associative,7,Vertical,B,Is the background plain white?,yes
assoc_vert_001,Associative,7,Vertical,B,Are the objects arranged vertically?,yes
assoc_vert_002,Associative,7,Vertical,A,Is there a blue apple in the image?,yes
assoc_vert_002,Associative,7,Vertical,A,Is the banana yellow?,yes
assoc_vert_002,Associative,7,Vertical,A,Is the blue cat at the bottom of the stack?,yes
assoc_vert_002,Associative,7,Vertical,A,Is the floor dark and metallic?,yes
assoc_vert_002,Associative,7,Vertical,A,Are the objects arranged vertically?,yes
assoc_vert_002,Associative,7,Vertical,B,Is there a blue apple in the image?,yes
assoc_vert_002,Associative,7,Vertical,B,Is the banana yellow?,yes
assoc_vert_002,Associative,7,Vertical,B,Is the blue cat at the bottom of the stack?,yes
assoc_vert_002,Associative,7,Vertical,B,Is the floor dark and metallic?,yes
assoc_vert_002,Associative,7,Vertical,B,Are the objects arranged vertically?,yes
assoc_vert_003,Associative,7,Vertical,A,Is there a blue apple in the image?,yes
assoc_vert_003,Associative,7,Vertical,A,Is the banana green in color?,yes
assoc_vert_003,Associative,7,Vertical,A,Is the dog yellow?,yes
assoc_vert_003,Associative,7,Vertical,A,Are the objects arranged vertically?,yes
assoc_vert_003,Associative,7,Vertical,A,Is the background plain white?,yes
assoc_vert_003,Associative,7,Vertical,B,Is there a blue apple in the image?,yes
assoc_vert_003,Associative,7,Vertical,B,Is the banana green in color?,yes
assoc_vert_003,Associative,7,Vertical,B,Is the dog yellow?,yes
assoc_vert_003,Associative,7,Vertical,B,Are the objects arranged vertically?,yes
assoc_vert_003,Associative,7,Vertical,B,Is the background plain white?,yes
assoc_vert_004,Associative,7,Vertical,A,Is there a yellow cat in the image?,yes
assoc_vert_004,Associative,7,Vertical,A,Is the red dog below the yellow cat?,yes
assoc_vert_004,Associative,7,Vertical,A,Is the blue apple at the bottom of the stack?,yes
assoc_vert_004,Associative,7,Vertical,A,Are all objects placed on a wooden table?,yes
assoc_vert_004,Associative,7,Vertical,A,Are the objects arranged vertically?,yes
assoc_vert_004,Associative,7,Vertical,B,Is there a yellow cat in the image?,yes
assoc_vert_004,Associative,7,Vertical,B,Is the red dog below the yellow cat?,yes
assoc_vert_004,Associative,7,Vertical,B,Is the blue apple at the bottom of the stack?,yes
assoc_vert_004,Associative,7,Vertical,B,Are all objects placed on a wooden table?,yes
assoc_vert_004,Associative,7,Vertical,B,Are the objects arranged vertically?,yes
assoc_vert_005,Associative,7,Vertical,A,Is there a blue dog in the image?,yes
assoc_vert_005,Associative,7,Vertical,A,Is the red cat below the blue dog?,yes
assoc_vert_005,Associative,7,Vertical,A,Is the yellow banana below the red cat?,yes
assoc_vert_005,Associative,7,Vertical,A,Are all objects placed on a wooden table?,yes
assoc_vert_005,Associative,7,Vertical,A,Are the objects arranged vertically?,yes
assoc_vert_005,Associative,7,Vertical,B,Is there a blue dog in the image?,yes
assoc_vert_005,Associative,7,Vertical,B,Is the red cat below the blue dog?,yes
assoc_vert_005,Associative,7,Vertical,B,Is the yellow banana below the red cat?,yes
assoc_vert_005,Associative,7,Vertical,B,Are all objects placed on a wooden table?,yes
assoc_vert_005,Associative,7,Vertical,B,Are the objects arranged vertically?,yes
assoc_attr_001,Associative,8,Attributes,A,Is there a cat in the image?,yes
assoc_attr_001,Associative,8,Attributes,A,Is the cat small in size?,yes
assoc_attr_001,Associative,8,Attributes,A,Is the cat red in color?,yes
assoc_attr_001,Associative,8,Attributes,A,Does the cat have a shiny appearance?,yes
assoc_attr_001,Associative,8,Attributes,A,Is the cat on a plain white surface?,yes
assoc_attr_001,Associative,8,Attributes,B,Is there a cat in the image?,yes
assoc_attr_001,Associative,8,Attributes,B,Is the cat small in size?,yes
